,Year ID,Location,Age,Sex,Disease Stage,Scenario,Measure,Metric,Mean,95% UI Lower,95% UI Upper
0,2025,Brazil,25_to_29,Female,AD Dementia,Reference,AD Deaths,Number,0.0,0.0,0.0
1,2025,Brazil,25_to_29,Female,AD Dementia,Reference,AD Deaths,"Rate per 100,000",0.0,0.0,0.0
2,2025,Brazil,25_to_29,Female,AD Dementia,Reference,Averted Deaths,Number,0.0,0.0,0.0
3,2025,Brazil,25_to_29,Female,AD Dementia,Reference,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
4,2025,Brazil,25_to_29,Female,AD Dementia,BBBM Testing Only,AD Deaths,Number,0.0,0.0,0.0
5,2025,Brazil,25_to_29,Female,AD Dementia,BBBM Testing Only,AD Deaths,"Rate per 100,000",0.0,0.0,0.0
6,2025,Brazil,25_to_29,Female,AD Dementia,BBBM Testing Only,Averted Deaths,Number,0.0,0.0,0.0
7,2025,Brazil,25_to_29,Female,AD Dementia,BBBM Testing Only,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
8,2025,Brazil,25_to_29,Female,AD Dementia,BBBM Testing and Treatment,AD Deaths,Number,0.0,0.0,0.0
9,2025,Brazil,25_to_29,Female,AD Dementia,BBBM Testing and Treatment,AD Deaths,"Rate per 100,000",0.0,0.0,0.0
10,2025,Brazil,25_to_29,Female,AD Dementia,BBBM Testing and Treatment,Averted Deaths,Number,0.0,0.0,0.0
11,2025,Brazil,25_to_29,Female,AD Dementia,BBBM Testing and Treatment,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
12,2025,Brazil,25_to_29,Male,AD Dementia,Reference,AD Deaths,Number,0.0,0.0,0.0
13,2025,Brazil,25_to_29,Male,AD Dementia,Reference,AD Deaths,"Rate per 100,000",0.0,0.0,0.0
14,2025,Brazil,25_to_29,Male,AD Dementia,Reference,Averted Deaths,Number,0.0,0.0,0.0
15,2025,Brazil,25_to_29,Male,AD Dementia,Reference,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
16,2025,Brazil,25_to_29,Male,AD Dementia,BBBM Testing Only,AD Deaths,Number,0.0,0.0,0.0
17,2025,Brazil,25_to_29,Male,AD Dementia,BBBM Testing Only,AD Deaths,"Rate per 100,000",0.0,0.0,0.0
18,2025,Brazil,25_to_29,Male,AD Dementia,BBBM Testing Only,Averted Deaths,Number,0.0,0.0,0.0
19,2025,Brazil,25_to_29,Male,AD Dementia,BBBM Testing Only,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
20,2025,Brazil,25_to_29,Male,AD Dementia,BBBM Testing and Treatment,AD Deaths,Number,0.0,0.0,0.0
21,2025,Brazil,25_to_29,Male,AD Dementia,BBBM Testing and Treatment,AD Deaths,"Rate per 100,000",0.0,0.0,0.0
22,2025,Brazil,25_to_29,Male,AD Dementia,BBBM Testing and Treatment,Averted Deaths,Number,0.0,0.0,0.0
23,2025,Brazil,25_to_29,Male,AD Dementia,BBBM Testing and Treatment,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
24,2025,Brazil,30_to_34,Female,AD Dementia,Reference,AD Deaths,Number,0.0,0.0,0.0
25,2025,Brazil,30_to_34,Female,AD Dementia,Reference,AD Deaths,"Rate per 100,000",0.0,0.0,0.0
26,2025,Brazil,30_to_34,Female,AD Dementia,Reference,Averted Deaths,Number,0.0,0.0,0.0
27,2025,Brazil,30_to_34,Female,AD Dementia,Reference,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
28,2025,Brazil,30_to_34,Female,AD Dementia,BBBM Testing Only,AD Deaths,Number,0.0,0.0,0.0
29,2025,Brazil,30_to_34,Female,AD Dementia,BBBM Testing Only,AD Deaths,"Rate per 100,000",0.0,0.0,0.0
30,2025,Brazil,30_to_34,Female,AD Dementia,BBBM Testing Only,Averted Deaths,Number,0.0,0.0,0.0
31,2025,Brazil,30_to_34,Female,AD Dementia,BBBM Testing Only,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
32,2025,Brazil,30_to_34,Female,AD Dementia,BBBM Testing and Treatment,AD Deaths,Number,0.0,0.0,0.0
33,2025,Brazil,30_to_34,Female,AD Dementia,BBBM Testing and Treatment,AD Deaths,"Rate per 100,000",0.0,0.0,0.0
34,2025,Brazil,30_to_34,Female,AD Dementia,BBBM Testing and Treatment,Averted Deaths,Number,0.0,0.0,0.0
35,2025,Brazil,30_to_34,Female,AD Dementia,BBBM Testing and Treatment,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
36,2025,Brazil,30_to_34,Male,AD Dementia,Reference,AD Deaths,Number,0.0,0.0,0.0
37,2025,Brazil,30_to_34,Male,AD Dementia,Reference,AD Deaths,"Rate per 100,000",0.0,0.0,0.0
38,2025,Brazil,30_to_34,Male,AD Dementia,Reference,Averted Deaths,Number,0.0,0.0,0.0
39,2025,Brazil,30_to_34,Male,AD Dementia,Reference,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
40,2025,Brazil,30_to_34,Male,AD Dementia,BBBM Testing Only,AD Deaths,Number,0.0,0.0,0.0
41,2025,Brazil,30_to_34,Male,AD Dementia,BBBM Testing Only,AD Deaths,"Rate per 100,000",0.0,0.0,0.0
42,2025,Brazil,30_to_34,Male,AD Dementia,BBBM Testing Only,Averted Deaths,Number,0.0,0.0,0.0
43,2025,Brazil,30_to_34,Male,AD Dementia,BBBM Testing Only,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
44,2025,Brazil,30_to_34,Male,AD Dementia,BBBM Testing and Treatment,AD Deaths,Number,0.0,0.0,0.0
45,2025,Brazil,30_to_34,Male,AD Dementia,BBBM Testing and Treatment,AD Deaths,"Rate per 100,000",0.0,0.0,0.0
46,2025,Brazil,30_to_34,Male,AD Dementia,BBBM Testing and Treatment,Averted Deaths,Number,0.0,0.0,0.0
47,2025,Brazil,30_to_34,Male,AD Dementia,BBBM Testing and Treatment,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
48,2025,Brazil,35_to_39,Female,AD Dementia,Reference,AD Deaths,Number,0.0,0.0,0.0
49,2025,Brazil,35_to_39,Female,AD Dementia,Reference,AD Deaths,"Rate per 100,000",0.0,0.0,0.0
50,2025,Brazil,35_to_39,Female,AD Dementia,Reference,Averted Deaths,Number,0.0,0.0,0.0
51,2025,Brazil,35_to_39,Female,AD Dementia,Reference,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
52,2025,Brazil,35_to_39,Female,AD Dementia,BBBM Testing Only,AD Deaths,Number,0.0,0.0,0.0
53,2025,Brazil,35_to_39,Female,AD Dementia,BBBM Testing Only,AD Deaths,"Rate per 100,000",0.0,0.0,0.0
54,2025,Brazil,35_to_39,Female,AD Dementia,BBBM Testing Only,Averted Deaths,Number,0.0,0.0,0.0
55,2025,Brazil,35_to_39,Female,AD Dementia,BBBM Testing Only,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
56,2025,Brazil,35_to_39,Female,AD Dementia,BBBM Testing and Treatment,AD Deaths,Number,0.0,0.0,0.0
57,2025,Brazil,35_to_39,Female,AD Dementia,BBBM Testing and Treatment,AD Deaths,"Rate per 100,000",0.0,0.0,0.0
58,2025,Brazil,35_to_39,Female,AD Dementia,BBBM Testing and Treatment,Averted Deaths,Number,0.0,0.0,0.0
59,2025,Brazil,35_to_39,Female,AD Dementia,BBBM Testing and Treatment,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
60,2025,Brazil,35_to_39,Male,AD Dementia,Reference,AD Deaths,Number,0.0,0.0,0.0
61,2025,Brazil,35_to_39,Male,AD Dementia,Reference,AD Deaths,"Rate per 100,000",0.0,0.0,0.0
62,2025,Brazil,35_to_39,Male,AD Dementia,Reference,Averted Deaths,Number,0.0,0.0,0.0
63,2025,Brazil,35_to_39,Male,AD Dementia,Reference,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
64,2025,Brazil,35_to_39,Male,AD Dementia,BBBM Testing Only,AD Deaths,Number,0.0,0.0,0.0
65,2025,Brazil,35_to_39,Male,AD Dementia,BBBM Testing Only,AD Deaths,"Rate per 100,000",0.0,0.0,0.0
66,2025,Brazil,35_to_39,Male,AD Dementia,BBBM Testing Only,Averted Deaths,Number,0.0,0.0,0.0
67,2025,Brazil,35_to_39,Male,AD Dementia,BBBM Testing Only,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
68,2025,Brazil,35_to_39,Male,AD Dementia,BBBM Testing and Treatment,AD Deaths,Number,0.0,0.0,0.0
69,2025,Brazil,35_to_39,Male,AD Dementia,BBBM Testing and Treatment,AD Deaths,"Rate per 100,000",0.0,0.0,0.0
70,2025,Brazil,35_to_39,Male,AD Dementia,BBBM Testing and Treatment,Averted Deaths,Number,0.0,0.0,0.0
71,2025,Brazil,35_to_39,Male,AD Dementia,BBBM Testing and Treatment,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
72,2025,Brazil,40_to_44,Female,AD Dementia,Reference,AD Deaths,Number,0.0,0.0,0.0
73,2025,Brazil,40_to_44,Female,AD Dementia,Reference,AD Deaths,"Rate per 100,000",0.0,0.0,0.0
74,2025,Brazil,40_to_44,Female,AD Dementia,Reference,Averted Deaths,Number,0.0,0.0,0.0
75,2025,Brazil,40_to_44,Female,AD Dementia,Reference,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
76,2025,Brazil,40_to_44,Female,AD Dementia,BBBM Testing Only,AD Deaths,Number,0.0,0.0,0.0
77,2025,Brazil,40_to_44,Female,AD Dementia,BBBM Testing Only,AD Deaths,"Rate per 100,000",0.0,0.0,0.0
78,2025,Brazil,40_to_44,Female,AD Dementia,BBBM Testing Only,Averted Deaths,Number,0.0,0.0,0.0
79,2025,Brazil,40_to_44,Female,AD Dementia,BBBM Testing Only,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
80,2025,Brazil,40_to_44,Female,AD Dementia,BBBM Testing and Treatment,AD Deaths,Number,0.0,0.0,0.0
81,2025,Brazil,40_to_44,Female,AD Dementia,BBBM Testing and Treatment,AD Deaths,"Rate per 100,000",0.0,0.0,0.0
82,2025,Brazil,40_to_44,Female,AD Dementia,BBBM Testing and Treatment,Averted Deaths,Number,0.0,0.0,0.0
83,2025,Brazil,40_to_44,Female,AD Dementia,BBBM Testing and Treatment,Averted Deaths,"Rate per 100,000",0.0,0.0,0.0
84,2025,Brazil,40_to_44,Male,AD Dementia,Reference,AD Deaths,Number,0.0,0.0,0.0
85,2025,Brazil,40_to_44,Male,AD Dementia,Reference,AD Deaths,"Rate per 100,000",0.0,0.0,0.0
